;100m;Longueur;Poids;Hauteur;400m;110m H;Disque;Perche;Javelot;1500m;Classement;Points;Competition
Sebrle;10.85;7.84;16.36;2.12;48.36;14.05;48.72;5.00;70.52;280.01;1;8893;OlympicG
Clay;10.44;7.96;15.23;2.06;49.19;14.13;50.11;4.90;69.71;282.00;2;8820;OlympicG
Karpov;10.50;7.81;15.93;2.09;46.81;13.97;51.65;4.60;55.54;278.11;3;8725;OlympicG
Macey;10.89;7.47;15.73;2.15;48.97;14.56;48.34;4.40;58.46;265.42;4;8414;OlympicG
Warners;10.62;7.74;14.48;1.97;47.97;14.01;43.73;4.90;55.39;278.05;5;8343;OlympicG
Zsivoczky;10.91;7.14;15.31;2.12;49.40;14.95;45.62;4.70;63.45;269.54;6;8287;OlympicG
Hernu;10.97;7.19;14.65;2.03;48.73;14.25;44.72;4.80;57.76;264.35;7;8237;OlympicG
Nool;10.80;7.53;14.26;1.88;48.81;14.80;42.05;5.40;61.33;276.33;8;8235;OlympicG
Bernard;10.69;7.48;14.80;2.12;49.13;14.17;44.75;4.40;55.27;276.31;9;8225;OlympicG
Schwarzl;10.98;7.49;14.01;1.94;49.76;14.25;42.43;5.10;56.32;273.56;10;8102;OlympicG
Pogorelov;10.95;7.31;15.10;2.06;50.79;14.21;44.60;5.00;53.45;287.63;11;8084;OlympicG
Schoenbeck;10.90;7.30;14.77;1.88;50.30;14.34;44.41;5.00;60.89;278.82;12;8077;OlympicG
Barras;11.14;6.99;14.91;1.94;49.41;14.37;44.83;4.60;64.55;267.09;13;8067;OlympicG
Smith;10.85;6.81;15.24;1.91;49.27;14.01;49.02;4.20;61.52;272.74;14;8023;OlympicG
Averyanov;10.55;7.34;14.44;1.94;49.72;14.39;39.88;4.80;54.51;271.02;15;8021;OlympicG
Ojaniemi;10.68;7.50;14.97;1.94;49.12;15.01;40.35;4.60;59.26;275.71;16;8006;OlympicG
Smirnov;10.89;7.07;13.88;1.94;49.11;14.77;42.47;4.70;60.88;263.31;17;7993;OlympicG
Qi;11.06;7.34;13.55;1.97;49.65;14.78;45.13;4.50;60.79;272.63;18;7934;OlympicG
Drews;10.87;7.38;13.07;1.88;48.51;14.01;40.11;5.00;51.53;274.21;19;7926;OlympicG
Parkhomenko;11.14;6.61;15.69;2.03;51.04;14.88;41.90;4.80;65.82;277.94;20;7918;OlympicG
Terek;10.92;6.94;15.15;1.94;49.56;15.12;45.62;5.30;50.62;290.36;21;7893;OlympicG
Gomez;11.08;7.26;14.57;1.85;48.61;14.41;40.95;4.40;60.71;269.70;22;7865;OlympicG
Turi;11.08;6.91;13.62;2.03;51.67;14.26;39.83;4.80;59.34;290.01;23;7708;OlympicG
Lorenzo;11.10;7.03;13.22;1.85;49.34;15.38;40.22;4.50;58.36;263.08;24;7592;OlympicG
Karlivans;11.33;7.26;13.30;1.97;50.54;14.98;43.34;4.50;52.92;278.67;25;7583;OlympicG
Korkizoglou;10.86;7.07;14.81;1.94;51.16;14.96;46.07;4.70;53.05;317.00;26;7573;OlympicG
Uldal;11.23;6.99;13.53;1.85;50.95;15.09;43.01;4.50;60.00;281.70;27;7495;OlympicG
Casarsa;11.36;6.68;14.92;1.94;53.20;15.39;48.66;4.40;58.62;296.12;28;7404;OlympicG
